age,income,loan_amount,loan_term,employment_years,credit_score,has_other_loans,approved
53,30010,48857,12,14,694,0,1
65,93490,46910,24,27,473,1,0
37,147154,40302,60,15,727,1,0
23,56348,36291,6,1,826,0,0
44,82153,52598,60,6,427,1,1
37,104292,27550,24,5,745,1,1
18,68820,50742,12,0,459,1,0
68,93889,36801,36,34,799,0,0
67,137171,46171,24,26,746,1,1
60,96088,20635,24,19,750,0,1
28,96586,15949,12,4,314,1,0
68,39847,55575,24,7,532,0,0
35,109441,5865,12,1,819,1,0
25,89339,35934,24,1,491,1,0
41,107399,22575,60,0,429,1,0
34,145155,68791,60,1,579,0,1
36,8443,3476,36,5,514,1,0
36,24666,8672,60,3,653,0,1
30,31261,43194,12,2,419,1,0
27,41576,64925,6,1,464,0,0
26,81280,10087,60,4,688,0,1
56,28752,21215,60,28,435,0,0
53,16281,36678,12,11,840,0,1
32,142532,54608,24,10,609,0,0
58,72948,47217,60,16,662,0,0
39,47370,61706,48,18,732,0,1
36,13322,53856,36,17,606,1,1
42,20325,33000,12,0,804,1,0
26,134703,57961,12,6,766,1,1
52,66515,4432,60,0,559,1,0
43,54523,32173,6,22,598,1,1
34,90144,58863,6,9,413,1,0
18,148558,67786,48,0,771,1,0
60,138773,36465,12,13,716,1,0
28,145200,5313,48,10,581,0,0
40,82087,48549,6,16,723,0,0
59,93905,3523,12,21,483,1,0
43,76331,26206,24,12,625,0,1
50,27673,31040,6,22,383,1,0
20,42521,17247,6,1,474,0,1
60,64357,52118,60,32,398,1,0
62,82176,66785,48,18,430,0,0
35,23311,17535,60,10,825,0,0
30,17846,29157,12,12,640,0,0
32,59500,25514,6,11,379,1,0
42,101076,22477,24,21,509,1,0
24,80912,18263,12,5,848,0,0
18,146078,17681,12,0,459,0,0
21,127209,6447,12,0,775,0,0
55,131648,16401,12,29,606,0,0
68,43619,42122,6,20,768,0,0
42,137648,13320,24,11,799,0,1
60,69931,68478,60,22,347,0,0
49,63900,46482,6,12,456,0,0
61,107594,7272,6,41,492,0,0
44,147973,49398,12,13,742,1,1
36,8065,34192,36,1,813,1,0
34,48409,32711,36,10,835,1,1
60,63688,55863,36,19,656,0,0
28,97642,39867,48,3,362,1,0
19,72254,39732,12,1,787,0,0
29,72112,32365,6,0,528,1,0
55,80995,11795,12,22,373,0,0
25,132567,65551,6,6,382,1,0
43,133608,17998,36,25,554,0,1
20,77866,58687,12,1,597,1,0
33,26936,58566,60,1,306,0,0
20,107383,23557,48,2,675,1,0
31,134740,24515,12,11,775,1,0
40,30817,62019,48,14,509,0,1
68,75397,14442,36,14,621,0,1
53,63004,66730,24,28,688,0,0
68,46132,29866,6,4,844,1,1
51,29112,65874,36,28,735,1,0
54,120282,7869,60,29,476,1,0
50,87774,60727,36,13,403,0,0
26,86316,33746,6,0,790,0,1
30,77581,10376,6,6,524,0,0
24,98373,2260,36,4,314,0,1
33,15852,29960,12,5,366,1,0
53,100358,67021,36,24,345,1,0
33,10117,33788,48,8,662,0,1
34,51998,11340,12,1,602,0,1
28,64985,6869,60,1,322,1,0
61,49960,30913,48,34,386,0,0
48,51249,68829,60,17,675,1,0
30,31380,65467,36,5,649,1,0
18,149494,33635,48,0,722,0,1
67,16365,69711,60,31,547,1,0
23,82943,37629,6,3,563,1,1
52,73019,30087,6,24,488,1,0
48,20349,3391,12,12,568,0,0
52,45778,14580,60,22,318,1,0
32,142134,15378,6,11,592,1,0
37,93596,54491,36,8,780,0,1
30,50534,9316,36,8,367,0,0
43,9347,61387,6,10,551,0,0
22,123123,56299,12,4,413,0,0
66,121526,8394,60,45,457,0,1
21,27099,18193,12,3,758,1,0
61,75617,29687,48,1,720,1,1
33,137297,27988,24,15,369,1,1
67,23291,62550,48,30,360,1,0
25,59458,61586,36,4,674,0,0
41,104130,39937,36,0,634,0,1
31,14316,16163,6,6,339,0,0
54,67592,27564,36,1,342,1,0
53,83340,35478,12,2,763,0,1
52,46711,15511,24,20,836,0,1
60,45016,27400,6,19,459,1,0
50,79467,69135,24,4,407,1,0
70,85228,24917,36,42,495,0,1
32,97626,1111,48,2,812,0,1
18,17212,61313,48,0,379,0,0
46,85205,7386,36,19,752,0,1
23,91137,41878,60,0,506,1,0
53,99914,49268,36,34,722,0,1
55,91050,64868,48,29,646,1,1
25,52318,38194,36,4,744,0,1
47,117837,7087,60,29,850,0,1
55,63546,42714,24,23,565,0,0
48,17893,45067,36,14,663,0,1
43,15919,15942,36,20,648,1,0
62,134033,39968,60,21,308,1,0
19,71485,37188,60,1,776,1,0
36,149625,2672,6,4,477,1,0
24,65033,14753,48,0,736,1,0
19,120973,40789,48,0,817,1,1
42,28222,21087,24,17,526,0,0
66,109958,34438,36,5,754,1,1
46,102452,47798,60,20,359,1,1
54,53403,6728,60,1,312,0,0
40,87660,67397,48,18,659,1,0
65,117886,1013,48,1,656,1,0
41,70906,9529,36,13,315,0,0
27,59640,16833,24,8,782,1,1
50,10366,24866,24,2,550,0,0
42,116170,67795,48,15,478,0,0
63,36247,8837,48,27,701,0,1
49,83454,66871,24,13,709,0,0
43,117457,12038,60,11,462,1,1
68,116914,56515,24,3,765,1,0
42,96669,21554,24,24,502,0,0
27,68200,42443,48,1,327,0,0
22,133067,55576,12,4,593,0,1
31,128899,26306,48,8,547,1,0
20,91662,38025,6,2,606,1,0
32,149817,51515,12,10,543,1,0
57,31494,7635,12,30,532,1,0
35,74109,52276,24,6,844,0,1
27,24703,37674,48,4,552,1,0
52,108040,10931,12,4,548,0,1
59,37252,54766,36,4,339,1,0
58,145082,19322,36,11,409,0,0
66,48552,25733,12,36,681,1,0
70,66453,53828,24,45,377,0,1
22,59183,55452,60,2,772,0,0
24,31734,10935,60,0,843,0,1
34,58357,36057,24,3,387,1,0
46,73873,69003,36,26,487,1,0
30,69484,12519,6,0,490,1,0
30,33159,22036,24,7,784,0,0
24,28410,51924,12,1,606,0,1
54,12250,65083,24,12,349,0,0
55,12999,24799,60,15,713,0,1
67,28291,13549,12,46,813,0,1
66,60488,14327,6,16,486,0,1
24,117889,2668,24,3,643,0,0
50,147589,3053,60,24,473,1,1
60,65795,45429,60,2,507,0,0
54,60811,47644,36,18,710,0,0
47,131781,69631,48,5,454,1,0
38,45246,2378,6,6,396,1,0
44,146745,43823,60,13,572,0,0
34,57706,34838,24,1,709,0,1
19,117842,21038,24,1,780,0,1
47,134890,42514,24,19,776,1,0
30,29622,60190,36,1,330,0,0
68,37030,51078,12,8,376,0,0
64,144996,69777,12,6,650,1,0
36,62864,17132,24,10,525,0,1
70,82350,13947,24,50,528,0,0
33,59075,26437,24,13,541,1,0
45,92187,18508,60,5,544,0,0
25,119069,58918,36,6,548,0,0
24,32690,62703,60,2,815,1,1
32,39909,56145,36,3,576,1,0
56,103046,43027,24,1,794,1,0
22,108876,39979,60,1,446,0,0
43,92071,12669,36,8,748,1,1
18,95359,4809,12,0,753,0,1
20,39645,62047,48,2,594,1,0
42,132782,27707,36,13,719,1,1
68,14210,63729,24,34,430,1,0
63,58195,54398,60,24,714,1,0
47,9665,49564,12,24,714,0,0
24,43428,59802,12,3,401,1,0
19,63235,8521,60,0,735,1,1
41,142095,40519,36,2,746,0,0
54,15645,27644,48,27,451,1,0
44,27999,32490,12,10,513,0,0
24,78134,9538,36,2,380,1,0
20,73576,61459,60,2,648,0,0
63,24311,62169,48,8,530,1,0
44,64296,67137,60,13,431,1,0
45,44192,8679,36,13,478,1,1
45,111200,16573,12,16,380,1,1
44,18935,27572,6,8,383,1,0
22,45084,24233,36,1,570,1,0
68,142129,68906,12,26,510,0,0
40,105737,5749,12,1,629,0,0
38,52203,8752,36,14,577,1,0
26,118850,10398,12,5,783,0,1
20,147330,56527,6,0,612,0,1
22,53629,11122,60,2,819,1,0
58,93820,24304,48,6,843,1,1
24,127505,16625,48,5,774,1,0
52,136869,56947,60,24,494,1,0
59,72249,2513,12,36,525,1,0
68,48471,68183,6,46,368,0,0
18,131684,20684,60,0,497,0,0
45,67391,25032,6,20,537,0,1
40,19031,4374,36,3,781,0,1
53,40809,47937,12,27,821,1,1
27,61578,5336,36,8,533,0,1
22,95227,12809,48,2,621,0,0
60,69312,53056,12,34,447,0,0
34,90192,21336,6,10,633,0,1
57,8582,33662,36,4,437,1,0
44,82108,20807,6,7,373,1,1
65,109931,48701,36,21,309,0,0
31,69865,33316,6,2,631,0,0
34,136558,43704,24,5,640,1,1
52,116666,65220,12,17,541,1,0
58,113034,67393,60,31,642,1,0
61,140857,21367,36,13,537,0,0
22,139700,31862,36,0,792,1,0
25,101863,54139,24,4,496,1,0
69,50758,53610,24,35,650,0,0
38,20476,7243,36,2,652,1,0
38,67187,68145,6,2,735,0,0
20,126702,5747,12,0,448,1,0
67,55162,65860,60,26,714,1,0
50,73989,7527,6,0,384,1,0
53,18966,3486,24,3,624,0,1
55,115416,45686,24,16,317,1,0
62,99569,43194,36,31,664,0,1
70,100107,54920,6,48,645,1,1
30,84738,4701,60,8,848,1,0
65,26651,26251,24,19,606,0,0
38,149360,58865,60,11,340,0,1
46,76523,59193,6,1,754,1,0
53,101054,6376,12,21,388,0,1
36,73920,47638,36,3,457,0,0
25,20537,1354,36,5,521,0,0
56,96480,26472,12,14,805,1,1
37,53721,62870,6,19,845,1,0
29,119643,43786,6,5,581,1,0
19,109719,9074,36,1,592,0,1
35,79526,30107,36,4,490,0,0
21,127596,47079,6,2,615,1,1
34,63245,12510,36,1,539,0,0
69,77974,28351,6,28,465,1,0
38,23023,2104,24,5,463,1,0
50,146749,32452,60,22,434,1,1
30,133777,26540,48,4,800,1,1
46,142386,42320,48,12,343,0,0
38,137665,55351,12,2,325,1,0
59,59528,39347,60,30,579,1,0
29,118348,50817,48,10,422,0,0
67,129759,57877,48,30,745,0,1
66,35139,60300,36,48,601,0,0
70,109187,21014,60,49,452,0,0
46,55082,38529,60,11,784,1,1
33,39661,34825,24,12,467,1,0
25,35965,29063,36,5,439,1,0
29,117866,66810,60,10,640,1,0
24,22755,4178,60,5,622,0,0
61,15456,51736,48,32,756,0,1
22,50126,35884,60,2,448,0,0
42,81339,68951,6,17,750,1,1
37,72698,19806,48,0,720,0,1
35,40117,66875,24,3,845,1,1
27,33710,68415,6,0,557,1,0
61,50578,68078,6,5,775,1,1
43,115705,27095,48,6,313,0,0
18,17664,37444,24,0,332,1,0
70,36840,68571,48,23,326,1,0
19,17353,3301,12,0,367,0,0
35,114421,40315,12,6,663,1,1
52,13361,64949,24,30,564,1,0
36,66085,27972,24,12,641,1,0
27,44717,68725,6,8,369,1,0
29,98291,24794,6,4,402,0,0
40,118633,33476,60,7,752,0,1
33,18940,49618,36,13,594,0,0
53,95584,15933,60,33,739,1,1
23,116261,34965,6,0,480,1,0
35,90369,13128,36,0,749,0,1
37,112146,18779,48,19,764,0,1
67,85325,60126,60,42,587,1,0
58,148212,19987,60,29,605,1,1
27,10923,12613,48,9,344,0,0
30,123017,26868,36,12,383,1,0
44,28552,12312,60,3,766,0,1
30,36620,11114,60,4,804,1,1
31,28571,60273,12,2,708,1,0
54,57388,10845,48,25,440,0,1
54,123849,44432,24,14,666,0,0
23,97270,13229,24,5,494,1,0
34,78917,14795,36,4,645,1,0
70,101372,5413,24,6,572,1,0
48,86138,27196,6,7,703,0,1
67,74239,35877,36,17,634,1,0
19,142092,43728,12,1,836,1,0
49,60679,28002,36,29,448,0,0
40,147980,44983,60,22,774,1,1
34,52348,53926,60,10,554,0,0
41,86088,56131,60,14,708,0,1
37,50848,28571,24,17,577,1,0
70,124533,4933,48,18,639,1,1
41,141342,17361,6,5,370,0,1
69,8050,13779,60,43,446,0,0
58,82790,13421,6,40,793,1,0
54,117704,16423,60,1,446,0,0
65,80034,29106,48,30,839,0,1
66,125284,50228,12,19,349,1,0
60,98820,46277,48,7,556,1,0
60,20020,39089,48,23,686,0,0
60,149379,19750,6,24,704,0,1
33,29350,59053,6,10,712,0,1
48,28701,57849,24,13,390,0,0
37,132801,69270,6,9,560,0,1
51,110666,49986,36,23,622,1,1
25,17183,39402,48,2,697,1,0
34,62829,47977,36,0,788,1,0
54,109308,23560,12,34,436,1,1
39,63267,68895,36,7,645,0,1
33,71910,24462,36,3,526,0,1
67,76799,39070,24,16,385,1,0
70,106781,52425,6,8,849,1,0
21,69341,33065,48,0,436,0,0
60,123383,52662,24,4,406,0,0
65,29461,8638,36,45,584,0,1
60,96153,62167,48,40,540,1,1
36,103598,30295,48,12,349,1,1
53,148491,49764,36,19,760,0,1
69,71593,44562,60,2,382,0,0
19,84929,43893,12,1,641,1,0
21,109493,23114,36,2,476,0,0
46,103240,63332,6,15,748,1,1
69,147400,1735,48,1,439,1,0
26,51011,52702,48,3,303,1,0
68,52326,9807,48,44,476,1,1
46,72729,53242,6,4,653,1,0
61,125660,57058,48,5,578,1,0
62,26497,16226,36,20,550,1,0
24,75799,54532,12,2,398,1,0
56,34788,23493,36,20,632,0,0
20,148431,27215,12,0,730,1,0
31,37009,40203,12,2,384,1,0
30,123316,56702,12,7,457,0,0
46,50329,1591,6,28,640,1,1
39,98478,35194,60,13,716,0,1
41,76625,11336,60,21,847,0,1
22,99499,13826,12,2,431,1,0
67,75575,23043,12,6,465,0,1
53,50996,15459,36,13,619,0,1
60,26847,2598,36,5,739,0,1
19,87047,65531,24,0,472,0,1
40,106962,35560,60,2,657,1,0
36,146090,28980,24,9,531,0,1
50,46267,19889,24,13,652,0,1
37,143144,31759,24,7,667,0,0
20,140666,50428,48,2,317,1,0
33,9276,66907,60,6,827,1,1
68,56533,20308,48,35,319,0,0
65,134429,29905,12,13,564,1,0
34,107967,58351,60,12,839,1,1
31,29401,64781,48,4,340,0,0
49,44348,56973,6,1,678,1,0
69,92092,61593,36,45,505,1,0
70,95088,34026,24,26,377,1,1
28,53820,20588,12,2,411,1,0
49,60877,20997,36,22,337,0,1
37,99174,5046,36,12,781,0,1
64,8328,24535,48,43,599,0,0
37,12775,51115,24,0,739,0,1
52,89873,53551,48,11,751,1,1
66,76185,21646,60,19,808,0,1
46,106328,13671,24,17,765,0,1
46,127493,50486,24,1,554,1,1
59,10077,19761,6,13,317,1,0
69,55820,16477,12,51,839,0,0
28,80692,52224,24,5,642,1,0
21,77453,37392,60,1,322,0,0
58,75091,63461,60,29,469,1,0
28,62482,8811,6,7,464,0,1
65,136502,54810,6,1,352,0,0
40,97456,33056,36,6,364,1,0
51,79150,47605,60,5,493,0,1
40,57536,26097,60,16,828,1,0
18,22207,63391,12,0,656,1,0
63,44813,2076,12,33,775,0,1
37,31773,61349,24,11,704,1,1
21,143380,56496,24,3,451,1,0
45,24641,1210,12,24,381,1,0
66,47201,7675,60,19,466,0,1
59,97647,52817,48,27,362,0,0
63,27481,23251,24,25,680,0,1
40,76117,6735,60,19,807,1,1
40,103953,58683,24,12,730,1,0
54,96804,66634,60,14,553,1,1
54,107037,45723,48,0,573,0,0
26,88647,59584,24,6,777,0,1
39,112483,2955,48,13,539,1,0
42,77692,53136,48,15,779,0,1
43,145391,28893,60,21,806,0,1
49,92176,1845,12,11,823,1,1
49,35984,57508,60,30,658,1,1
35,109570,69722,24,11,765,1,1
59,91532,53360,6,21,489,1,0
47,35085,63527,60,27,775,0,1
42,104920,43209,48,0,595,1,0
47,92844,43099,36,26,536,0,0
47,120933,43402,36,17,346,0,1
54,104203,45370,24,32,493,1,0
58,85479,11100,12,22,313,0,1
47,148959,68802,36,2,353,1,0
21,66176,35819,6,3,725,1,0
49,110004,39672,48,15,607,1,1
27,121484,36065,24,8,462,0,1
21,142697,49528,12,2,771,0,1
36,131564,61348,48,5,832,0,1
18,61800,24068,12,0,493,0,1
29,83856,10778,48,1,329,0,0
52,25547,16450,60,25,539,0,0
45,29114,16032,60,6,590,0,0
47,137250,67590,60,0,514,0,1
66,140660,31022,48,12,469,0,0
45,62857,28396,36,10,358,0,1
68,69572,16100,24,22,356,1,1
24,128751,57141,6,5,636,1,1
25,102920,22958,60,7,368,1,0
30,76473,63481,12,9,570,1,0
59,112293,19476,24,7,677,1,1
62,12359,37637,48,37,382,0,0
46,131145,64315,12,4,584,0,0
27,39164,44940,24,1,371,0,1
19,22854,21520,6,0,354,1,0
40,126600,22626,36,19,456,0,1
23,12065,31355,6,1,735,1,1
27,108370,45786,48,9,318,1,0
52,105634,45993,6,7,753,0,0
55,71225,56851,36,15,519,0,1
23,142626,56904,12,5,539,0,0
64,113541,36510,6,38,845,1,1
33,146947,34655,12,11,672,0,1
61,74284,38555,24,31,832,0,1
20,58960,51095,36,0,576,0,0
33,80839,34985,36,10,547,0,0
43,117126,5776,24,12,603,1,1
46,122186,46623,48,13,830,1,1
51,135847,18994,12,24,812,0,0
46,92508,9215,48,0,751,0,0
60,23344,24102,36,22,757,1,0
47,43201,13729,60,22,697,1,0
50,131903,22391,36,31,454,1,1
39,105796,55411,24,3,539,0,1
46,105432,11864,60,7,575,0,1
68,64979,31998,36,30,773,1,1
50,69702,16941,12,23,409,0,1
50,66503,11503,12,28,635,1,1
19,96303,69236,48,0,641,1,0
42,72067,5784,12,12,441,1,0
49,30351,61014,24,24,704,1,1
60,53949,16690,60,16,421,1,0
40,101059,23404,36,13,479,1,1
44,54522,10975,6,8,627,0,1
56,67510,48024,6,14,713,1,0
18,140517,15927,48,0,795,1,1
45,89122,49697,48,18,722,0,1
51,60174,58929,48,0,725,0,1
28,129110,3822,60,1,671,1,0
36,148693,36700,60,13,732,0,1
65,35575,6755,24,12,686,0,1
27,44214,22362,60,8,751,0,1
43,56099,4037,60,13,546,1,1
59,93090,55672,36,32,395,0,0
48,106346,58646,12,14,756,0,1
21,108737,66715,60,1,541,0,0
64,137078,11016,36,33,509,1,1
63,80965,37391,48,19,656,0,1
64,46148,33850,36,32,818,1,1
54,111418,37951,36,27,629,1,1
22,22386,10923,6,4,392,0,0
22,147591,19677,12,4,727,0,0
31,79907,45358,6,11,345,1,0
61,60266,52276,60,1,840,1,1
26,12311,17918,48,4,673,1,0
20,24357,25206,48,1,779,1,0
57,98610,49950,36,36,335,0,0
18,110068,2193,36,0,564,0,0
43,112174,52526,6,13,562,1,0
19,11409,49709,36,0,376,0,0
69,52316,31457,12,37,496,1,0
46,14675,6334,6,24,714,1,0
70,123894,60153,6,27,301,1,1
46,139662,42011,48,20,714,0,1
37,25485,9101,12,17,573,1,0
27,149437,46652,48,1,838,0,1
44,103661,49294,12,12,445,0,1
44,82442,50737,60,2,503,1,0
33,109297,43104,48,12,391,1,1
50,84209,22093,6,24,844,1,1
61,43100,54550,60,5,440,1,0
40,20700,44411,60,8,512,1,0
51,74524,27753,36,29,666,1,1
64,33429,43982,48,44,548,1,0
64,59847,40338,36,22,766,0,1
53,44967,53214,12,30,432,0,0
63,87900,69304,6,23,754,1,0
58,125323,58077,48,40,629,1,1
52,37162,25265,60,8,669,1,0
45,28873,44745,48,7,842,0,0
51,149845,38311,60,10,344,0,0
55,42090,51411,12,2,532,0,0
60,89504,6846,12,31,424,1,0
51,26197,24113,60,29,716,1,0
60,22520,59691,6,2,505,0,0
39,99436,43930,48,17,438,1,0
54,71016,28934,36,7,314,0,1
53,62735,45084,60,21,597,0,0
41,59365,25333,60,13,704,1,1
63,102558,35906,60,3,614,0,1
62,83347,20226,6,24,533,1,0
35,86412,22999,36,2,651,1,0
36,33445,62767,60,0,403,1,0
55,132807,21079,48,27,655,1,0
61,64694,39089,12,17,731,0,1
61,124205,22488,48,23,686,0,1
26,91004,27601,36,3,434,1,0
52,143974,40590,48,33,845,0,0
46,100659,16678,24,8,685,0,0
66,139821,49636,36,41,359,0,1
27,122537,46404,48,1,800,1,1
24,113199,37965,60,5,494,0,1
49,131140,69569,36,30,397,1,1
41,103725,53174,48,20,796,0,1
41,53156,27834,36,9,563,0,0
60,105739,64176,48,8,347,0,0
44,145332,52428,6,20,700,0,1
22,43756,52048,60,3,784,0,1
36,40044,32772,60,10,492,0,0
41,30350,24763,6,16,838,1,1
58,47013,27297,60,6,503,1,0
52,52828,35400,24,8,315,1,0
26,78532,9089,36,4,682,1,0
29,105622,10040,48,10,453,0,0
42,18225,67916,12,0,796,0,0
55,99878,4290,36,4,729,0,1
42,83572,37995,48,3,468,0,0
63,19945,42681,60,29,567,0,0
27,88783,28000,48,8,374,0,0
29,44073,27899,24,11,587,1,0
18,72556,25997,36,0,708,0,1
23,103336,66948,48,0,364,1,0
53,43052,54141,36,8,418,1,0
62,46056,28347,6,37,698,1,0
27,87608,65190,6,2,691,1,0
35,8860,27300,60,16,414,1,0
57,98582,57901,48,13,416,1,0
19,64230,17060,6,0,768,1,1
23,101656,12897,36,5,433,1,0
51,63052,53073,12,8,727,0,0
51,109869,33036,36,31,563,1,1
70,67211,12433,36,12,310,1,0
24,116305,21374,6,5,842,0,1
68,139659,33780,24,46,418,1,1
30,79732,53105,12,9,791,0,0
19,80812,69145,60,0,696,0,0
29,70908,3851,24,0,352,1,0
70,25513,42739,60,46,403,1,0
61,81959,26166,36,3,492,1,0
39,99797,47204,60,21,425,0,0
69,45527,28004,24,25,651,1,1
29,114561,52727,36,10,304,1,0
35,98158,31236,48,14,780,1,0
70,120930,34630,12,45,488,1,0
60,95831,52428,6,14,817,1,1
28,12646,37945,48,7,790,0,0
27,79102,19503,6,4,396,1,0
63,55563,14931,6,43,593,1,1
18,94712,47609,24,0,653,1,1
53,71664,12547,60,5,488,1,0
58,74631,9927,36,31,488,0,1
57,80646,14473,12,34,612,1,1
33,128973,66434,36,10,472,0,0
21,144782,66028,60,1,559,1,0
62,142810,36782,12,28,624,1,1
33,103754,34712,36,7,365,1,0
50,33609,17859,36,31,455,1,0
68,144759,33656,12,44,510,1,1
66,128433,67087,36,41,707,1,0
18,132144,54185,6,0,534,1,0
21,39807,51046,12,1,688,0,0
41,106016,64203,6,19,818,1,0
30,42956,56587,24,1,449,1,0
29,14180,62453,48,1,666,0,0
43,106502,21587,36,22,391,1,0
36,27325,52343,48,6,460,0,0
21,104902,23385,24,2,497,1,0
33,138339,35624,60,12,694,1,0
49,81767,17526,48,11,505,1,0
68,108648,26194,6,22,441,1,0
43,81564,15510,36,8,743,0,1
58,148517,19582,12,7,390,0,0
60,100759,53094,24,42,352,0,0
26,147809,55865,6,5,639,1,0
44,55998,28747,12,10,723,1,1
44,23574,1716,12,15,770,0,1
63,20878,13413,36,1,598,0,0
43,106448,24156,60,9,459,1,0
18,115684,34553,6,0,607,1,1
70,94062,1988,36,27,504,0,0
46,98672,57850,24,19,747,0,1
43,94898,3211,60,8,409,1,0
43,87906,45342,48,5,782,0,1
67,97505,24391,60,20,587,0,0
58,8288,24275,48,32,833,1,0
26,46076,26475,36,5,677,0,0
29,47800,20238,60,7,671,1,1
38,35583,15417,24,20,553,0,0
53,109180,33336,24,31,709,0,1
68,43752,3250,12,8,385,1,0
54,16703,54889,48,17,505,1,0
70,115530,14614,6,14,773,0,0
37,76835,7635,60,6,383,0,1
25,128004,18475,6,3,544,0,0
64,62638,65042,48,37,568,1,0
56,66311,32591,24,6,754,1,0
49,23081,49640,36,3,475,0,0
66,9380,8288,6,10,596,1,0
58,87094,8803,6,12,453,1,0
47,41153,21077,6,12,721,0,0
61,139083,12344,36,21,463,0,0
35,141788,18880,36,11,351,1,0
24,10927,42699,12,6,521,0,0
65,73087,6896,6,45,822,1,1
34,119183,14107,60,6,812,0,1
25,129237,65871,36,2,697,1,1
63,106688,57472,12,18,837,1,1
22,46172,65405,36,1,839,0,0
56,83965,42516,12,7,668,0,0
26,46861,15121,12,7,580,0,1
25,55138,31919,12,2,512,1,0
46,94424,53482,24,3,379,0,0
63,61249,16680,60,41,389,1,0
42,81610,13651,48,8,623,0,1
60,138946,36382,48,18,480,1,1
22,8200,39937,6,3,525,1,0
19,102887,67573,24,0,701,1,0
35,107799,53045,36,5,360,1,1
50,66814,22449,12,4,640,0,0
23,125952,12336,60,4,495,1,0
42,126536,23409,24,19,499,1,0
59,124871,8270,36,30,814,0,1
59,147876,7438,6,3,643,1,0
18,46352,37960,60,0,493,1,0
40,101583,46787,48,21,421,1,1
36,104568,9627,36,7,735,1,1
53,139101,36674,60,30,609,1,1
18,32302,6995,48,0,714,0,0
62,118433,29154,12,11,376,1,1
19,30523,3443,48,0,408,1,0
66,89246,16619,36,7,588,0,1
66,9918,2960,48,12,709,1,0
50,18094,57438,6,21,357,1,0
39,37067,15466,24,3,673,1,0
34,126740,42591,60,11,356,0,0
54,135718,4413,60,2,481,1,1
40,138318,58792,60,16,702,1,0
27,16033,46775,24,0,618,0,1
62,79245,56322,12,29,364,0,0
18,132723,40408,6,0,763,0,1
68,121167,20685,12,37,651,0,1
21,16152,21519,24,3,828,1,1
55,41086,6483,36,2,779,0,0
19,112718,44277,60,0,345,1,0
32,14633,25748,48,4,784,0,1
57,9556,59730,36,4,817,0,0
51,86657,26874,24,27,754,0,1
66,28546,46246,48,40,333,1,0
43,92376,46882,6,6,578,0,1
19,102972,58964,48,1,796,1,1
64,73579,58759,24,34,565,0,0
50,128483,33153,36,7,594,0,0
29,72717,57809,60,4,846,1,1
54,106230,34500,12,11,315,1,0
38,46465,5180,6,0,780,0,1
49,132658,59685,60,13,539,0,0
32,103541,52330,12,3,726,0,0
59,71101,43342,12,8,689,1,0
59,90623,60619,36,4,813,1,1
38,36310,55305,12,18,816,0,1
53,131276,44185,24,34,671,0,0
66,27145,46565,36,0,640,0,1
22,95913,25262,36,4,496,0,0
40,81156,37234,36,20,453,1,0
25,146795,17109,12,2,668,1,1
28,94475,36550,12,4,835,1,1
59,122815,20009,48,40,336,1,0
30,58358,57981,24,12,402,1,0
70,89329,47059,6,17,385,0,0
19,16359,54559,36,0,504,1,0
63,65333,26091,24,35,430,0,0
24,143425,68276,48,6,527,1,0
37,30740,12184,36,19,788,1,1
42,32589,35496,36,19,708,1,0
47,96064,31276,6,24,364,1,1
27,74024,29766,48,7,659,1,0
65,103435,43955,6,24,582,1,0
69,53839,33159,60,8,496,1,1
34,88946,33107,12,0,315,0,0
47,32476,14313,36,4,619,1,0
70,115831,25380,48,50,817,1,1
50,81867,68561,48,28,438,0,0
28,149911,45120,60,7,656,1,1
68,54852,46773,12,33,309,0,1
19,78271,45555,48,1,707,0,1
41,133988,50299,6,1,752,0,1
63,67300,53164,12,22,829,1,1
68,78202,29989,6,31,346,1,1
59,141125,58282,24,17,435,1,0
22,105582,51541,48,0,775,1,1
22,41225,51695,24,0,468,1,0
54,56757,10986,12,3,726,1,0
20,67586,56227,48,0,534,1,0
68,38933,14370,12,7,710,0,1
52,77864,29335,6,24,760,1,0
37,117620,37168,60,10,818,1,1
26,143707,61703,12,0,782,1,1
42,129823,20723,24,16,386,1,0
57,19744,60371,36,10,617,0,1
70,38861,46184,12,42,579,1,0
50,34666,62995,48,28,628,1,0
24,148970,39722,24,3,301,0,1
38,9705,48818,24,6,388,0,1
24,119637,64153,24,3,431,1,0
62,110981,28007,48,31,468,1,0
22,48950,69364,36,4,357,1,0
54,27637,65990,24,16,753,0,1
23,35074,41467,36,3,690,0,0
21,77402,18740,36,3,385,1,1
37,63826,68624,24,18,797,0,0
64,17260,25379,6,38,707,0,0
56,49061,49333,6,34,535,1,0
20,46106,34616,24,1,838,1,0
57,36661,45299,24,16,722,1,1
19,103817,15205,6,0,627,0,1
58,71886,61657,36,39,822,0,1
34,58201,44624,6,8,838,0,1
23,33396,37308,48,0,615,0,0
62,105344,47091,60,38,832,0,1
59,132214,15417,24,34,599,0,1
23,34498,39133,12,0,647,0,1
66,106162,58937,6,13,768,0,1
30,131115,59059,60,3,806,0,1
63,19715,29670,12,11,380,1,0
38,34848,19190,24,12,660,1,0
48,149749,19246,6,4,776,1,1
57,76129,11542,60,28,514,1,0
34,121493,21120,12,11,747,1,1
69,139469,16463,36,41,530,0,0
29,18756,13255,12,11,532,0,0
